"","Establishment.ID","Inspection.ID","Establishment.Name","Severity","Latitude","Longitude"
"3096",10277602,105305444,"SHAAREI SHOMAYIM CONGREGATION","S",43.71311,-79.427
"3097",10277628,105107201,"LUCKY'S CORNER","S",43.71898,-79.5078
"3098",10277964,105075425,"BISTRO CAMINO","NA",43.68935,-79.29749
"3099",10278108,105024649,"JOANNE'S DELI","M",43.70851,-79.39135
"3100",10278133,105179454,"MR. GREEK MEAT MARKET","M",43.67939,-79.34148
"3101",10278139,105305828,"ESTHER EXTON CHILD CARE CENTRE","M",43.72875,-79.44084
"3102",10278177,105196282,"MASTER'S BUFFETERIA","S",43.6669,-79.40261
"3103",10278238,105024877,"FOXLEY","M",43.64862,-79.42036
"3104",10278335,105158387,"HUONG PHU BANH MI NORTH YORK","NA",43.75179,-79.52777
"3105",10278339,105082394,"EDDYSTONE MEATS","S",43.74767,-79.52133
"3106",10278687,105164582,"BRITISH STYLE FISH & CHIPS","M",43.66862,-79.31727
"3107",10278948,105423767,"SHAKEY'S","C",43.65066,-79.47763
"3108",10279127,105257240,"MALT N SALT","C",43.78702,-79.15205
"3109",10279215,105415089,"TONE TAI SUPERMARKET","S",43.78608,-79.35182
"3110",10279528,105126993,"DOWNTOWN MONTESSORI AT  INFINITY PLACE","NA",43.642,-79.38278
"3111",10279614,105199552,"OUR LADY OF PERPETUAL HELP CATHOLIC SCHOOL","NA",43.68731,-79.38331
"3112",10279641,105065097,"SUBWAY","NA",43.78198,-79.23459
"3113",10279717,105219136,"WALMART SUPERCENTRE","M",43.83341,-79.25441
"3114",10279719,105058719,"MCDONALD'S","NA",43.83341,-79.25441
"3115",10279952,105025730,"JAMAICA FOODS - FB 129 - CNE 2024","NA",43.6372,-79.41004
"3116",10280020,105095857,"SUBWAY","S",43.77147,-79.25287
"3117",10280023,105085595,"TIM HORTONS","M",43.6781,-79.44373
"3118",10280042,105025844,"PIZZA PIZZA - FB 436 - CNE 2024","NA",43.6372,-79.41004
"3119",10280531,105011542,"LALIBELA ETHOPIAN RESTAURANT","S",43.66207,-79.42483
"3120",10280778,105013771,"DOMINO'S PIZZA","NA",43.65545,-79.36543
"3121",10280922,105271783,"STARBUCKS","NA",43.68091,-79.28495
"3122",10280924,105302093,"PINNACLE YMCA","M",43.64316,-79.37626
"3123",10281054,105137703,"CHERRY BOMB CAFE","M",43.6415,-79.44705
"3124",10281157,105166265,"TIMOTHY'S COFFEES OF THE WORLD","M",43.76966,-79.33104
"3125",10281550,105197865,"ST. AIDAN SCHOOL EARLY YEARS LEARNING AND CHILD CARE CENTRE","NA",43.79739,-79.30937
"3126",10281564,105275060,"BESSBOROUGH DRIVE CHILD CARE CENTRE","S",43.70722,-79.37014
"3127",10281844,105485626,"SUBWAY","M",43.77184,-79.18507
"3128",10281922,105200485,"FAMILY MINI MART","NA",43.68062,-79.32897
"3129",10282129,105156339,"SUBWAY SANDWICHES","NA",43.79855,-79.31837
"3130",10282501,105029337,"CAKE HOUSE BAKERY","C",43.75062,-79.27698
"3131",10282526,105306239,"SOBEY'S URBAN FRESH","M",43.69791,-79.39554
"3132",10282549,105266955,"J. J.'S DELI","M",43.69773,-79.39606
"3133",10282900,105150630,"PIZZA HUT","NA",43.77053,-79.18637
"3134",10283030,105001700,"LAKESHORE VILLAGE FRUIT","NA",43.60158,-79.50258
"3135",10283046,105104812,"TIM HORTONS","NA",43.69064,-79.2887
"3136",10283081,105408249,"TIM HORTONS","S",43.7423,-79.58955
"3137",10283185,105069717,"TUMBECAFE","NA",43.74418,-79.24412
"3138",10283251,105069061,"YWCA BERGAMOT EARLY LEARNING CENTRE","M",43.71684,-79.5579
"3139",10283384,105082522,"BOO RADLEY'S JUNCTION BAR & GRILL","NA",43.66604,-79.45028
